index,store,product,sales,date,invoice_total,invoice_totalTip,invoice_address_city,invoice_deleted_at,customerCategory_id,tableArea_id,address.company,address.city,item_product_discountable,item_product_pricePerUnit,item_retour,item_expirationDate,item_price,item_lineDiscountGross,item_invoiceDiscountGross,item_discountable,paymentMethod_id_x,productgroup_name,user_name,table_name
0,1,Cola,6,2021-06-16,19.73,0,,,,cat_172500,,,1,1.8,0,,1.8,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Innen 7
1,1,Cola Bacardi,4,2021-06-16,22.98,0,,,,cat_172500,,,1,3.5,0,,3.5,,,1,cat_480951,Alkoholische Getränke,jonaskrauss,Innen 6
2,1,Schnitzel,6,2021-06-16,23.17,0,,,,cat_172500,,,1,4.5,0,,4.5,,,1,cat_480951,Speisen,jonaskrauss,Innen 6
3,1,Soda Zitrone,14,2021-06-16,20.84,0,,,,cat_172500,,,1,1.5,0,,1.5,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Innen 10
4,1,Spaghetti,7,2021-06-16,19.73,0,,,,cat_172500,,,1,5.2,0,,5.2,,,1,cat_480951,Speisen,jonaskrauss,Innen 10
5,1,"Spritzer 0,25l",2,2021-06-16,21.83,0,,,,cat_172500,,,1,1.8,0,,1.8,,,1,cat_480951,Alkoholische Getränke,jonaskrauss,Innen 7
6,1,Worschtsalat,8,2021-06-16,20.48,0,,,,cat_172500,,,1,7.42,0,,7.42,,,1,cat_480951,Speisen,jonaskrauss,Innen 5
7,1,Cola,6,2021-06-17,19.73,0,,,,cat_172500,,,1,1.8,0,,1.8,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Innen 7
8,1,Schnitzel,6,2021-06-17,23.17,0,,,,cat_172500,,,1,4.5,0,,4.5,,,1,cat_480951,Speisen,jonaskrauss,Innen 6
9,1,Soda Zitrone,14,2021-06-17,20.84,0,,,,cat_172500,,,1,1.5,0,,1.5,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Innen 10
10,1,Spaghetti,7,2021-06-17,19.73,0,,,,cat_172500,,,1,5.2,0,,5.2,,,1,cat_480951,Speisen,jonaskrauss,Innen 10
11,1,"Spritzer 0,25l",2,2021-06-17,21.83,0,,,,cat_172500,,,1,1.8,0,,1.8,,,1,cat_480951,Alkoholische Getränke,jonaskrauss,Innen 7
12,1,Worschtsalat,8,2021-06-17,20.48,0,,,,cat_172500,,,1,7.42,0,,7.42,,,1,cat_480951,Speisen,jonaskrauss,Innen 5
13,1,Cola,6,2021-06-18,19.73,0,,,,cat_172500,,,1,1.8,0,,1.8,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Innen 7
14,1,Cola Bacardi,4,2021-06-18,22.98,0,,,,cat_172500,,,1,3.5,0,,3.5,,,1,cat_480951,Alkoholische Getränke,jonaskrauss,Innen 6
15,1,Schnitzel,6,2021-06-18,23.17,0,,,,cat_172500,,,1,4.5,0,,4.5,,,1,cat_480951,Speisen,jonaskrauss,Innen 6
16,1,Soda Zitrone,14,2021-06-18,20.84,0,,,,cat_172500,,,1,1.5,0,,1.5,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Innen 10
17,1,Spaghetti,7,2021-06-18,19.73,0,,,,cat_172500,,,1,5.2,0,,5.2,,,1,cat_480951,Speisen,jonaskrauss,Innen 10
18,1,"Spritzer 0,25l",2,2021-06-18,21.83,0,,,,cat_172500,,,1,1.8,0,,1.8,,,1,cat_480951,Alkoholische Getränke,jonaskrauss,Innen 7
19,1,Worschtsalat,8,2021-06-18,20.48,0,,,,cat_172500,,,1,7.42,0,,7.42,,,1,cat_480951,Speisen,jonaskrauss,Innen 5
20,1,Cola,3,2021-06-19,12.50,0,,,,cat_172501,,,1,1.8,0,,1.8,,,1,cat_480952,Alkoholfreie Getränke,jonaskrauss,Außen 7
21,1,Cola Bacardi,2,2021-06-19,34.54,0,,,,cat_172501,,,1,3.5,0,,3.5,,,1,cat_480951,Alkoholische Getränke,jonaskrauss,Außen 6
22,1,Schnitzel,5,2021-06-19,16.87,0,,,,cat_172501,,,1,4.5,0,,4.5,,,1,cat_480952,Speisen,jonaskrauss,Innen 10
23,1,Soda Zitrone,4,2021-06-19,22.58,0,,,,cat_172500,,,1,1.5,0,,1.5,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Außen 6
24,1,Spaghetti,1,2021-06-19,34.54,0,,,,cat_172501,,,1,5.2,0,,5.2,,,1,cat_480951,Speisen,jonaskrauss,Außen 6
25,1,Worschtsalat,3,2021-06-19,26.00,0,,,,cat_172501,,,1,7.42,0,,7.42,,,1,cat_480951,Speisen,jonaskrauss,Außen 6
26,1,Cola,3,2021-06-20,18.48,0,,,,cat_172500,,,1,1.8,0,,1.8,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Innen 5
27,1,Cola Bacardi,2,2021-06-20,10.60,0,,,,cat_172500,,,1,3.5,0,,3.5,,,1,cat_480951,Alkoholische Getränke,jonaskrauss,Innen 10
28,1,Schnitzel,1,2021-06-20,24.44,0,,,,cat_172500,,,1,4.5,0,,4.5,,,1,cat_480951,Speisen,jonaskrauss,Innen 1
29,1,Soda Zitrone,2,2021-06-20,19.97,0,,,,cat_172500,,,1,1.5,0,,1.5,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Innen 1
30,1,Spaghetti,2,2021-06-20,15.50,0,,,,cat_172500,,,1,5.2,0,,5.2,,,1,cat_480951,Speisen,jonaskrauss,Innen 5
31,1,"Spritzer 0,25l",3,2021-06-20,15.21,0,,,,cat_172500,,,1,1.8,0,,1.8,,,1,cat_480951,Alkoholische Getränke,jonaskrauss,Innen 10
32,1,Worschtsalat,2,2021-06-20,24.44,0,,,,cat_172500,,,1,7.42,0,,7.42,,,1,cat_480951,Speisen,jonaskrauss,Innen 1
33,1,Cola,3,2021-06-21,12.50,0,,,,cat_172501,,,1,1.8,0,,1.8,,,1,cat_480952,Alkoholfreie Getränke,jonaskrauss,Außen 7
34,1,Cola Bacardi,2,2021-06-21,34.54,0,,,,cat_172501,,,1,3.5,0,,3.5,,,1,cat_480951,Alkoholische Getränke,jonaskrauss,Außen 6
35,1,Schnitzel,5,2021-06-21,16.87,0,,,,cat_172501,,,1,4.5,0,,4.5,,,1,cat_480952,Speisen,jonaskrauss,Innen 10
36,1,Soda Zitrone,4,2021-06-21,22.58,0,,,,cat_172500,,,1,1.5,0,,1.5,,,1,cat_480951,Alkoholfreie Getränke,jonaskrauss,Außen 6
37,1,Spaghetti,1,2021-06-21,34.54,0,,,,cat_172501,,,1,5.2,0,,5.2,,,1,cat_480951,Speisen,jonaskrauss,Außen 6
